article_body,article_date,article_title,image_link
"African Development Bank President Akinwumi Adesina, has pledged to deepen cooperation between his organisation and Chad, to help the central African nation meet critical development financing needs.African Development Bank President Akinwumi Adesina, has pledged to deepen cooperation between his organisation and Chad, to help the central African nation meet critical development financing needs.At a meeting with Chadian President Idriss Deby in the landlocked country’s capital, N’Djamena, Adesina also called on development partners to support Chad’s energy sector to increase power generation capacity to 400MW per year, from less than 100MW currently.""The Bank will provide budgetary support to Chad in 2020 and 2021,"" said President Adesina, referring to the country's financing needs. Critical areas in need of funding are energy, infrastructure, agriculture, water and environment, private sector and capacity building, government officials said.Chad’s Economy and Development Planning Minister Issa Doubragne said his country relies on the Bank for strategic investments. Read more: UN Secretary-General, AfDB Bank President to push development in AfricaAt a separate meeting with development partners and private sector representatives, Adesina said the Bank will support Chad to implement reforms and rationalise its investment choices. He urged the country’s leadership to improve the business environment and attract more private investment by promoting private-public partnerships.Livestock and agriculture account for 15.1% and 19.4% of Chad’s GDP. The nation is currently under a $312 million IMF aid program to restore macroeconomic stability, according to the Bank. ""Agriculture is not a sector for managing poverty; it’s a sector for creating wealth,"" Adesina said, adding that the Bank is ready to work with Chad to create agro-industrial zones to support the population and increase the tax base.The Bank's delegation included its Executive Director for Chad, René Obam Nlong; Director-General in Central Africa, Ousmane Doré; Special Envoy to Shareholders, Modibo Touré; Country manager for Chad, Ali Lamine Zeine, and the Principal-Country Economist, Alassane Diabaté.Log in to leave a comment ","May 22, 2019",Chad: AfDB President pledges deeper cooperation for energy sector,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2019/05/AfDB-optimised.jpg
"The transportation of both Kangnas Wind Farm and Perdekraal East Wind Farm’s turbine tower sections have commenced, making their way from the West Coast’s Port of Saldanha and Atlantis. The transportation of both Kangnas Wind Farm and Perdekraal East Wind Farm’s turbine tower sections have commenced, making their way from the West Coast’s Port of Saldanha and Atlantis. These two giant projects will be connected to
the country’s national grid by August 2020, forming part of the government’s Renewable
Energy Industry Power Producer Procurement Programmes (REI4Ps) Bid Window 4, both
of which incorporate significant levels of locally manufactured components. The first tower sections departed from Atlantis, West Coast of Cape Town on 20 May 2019, with blades, nacelles and other components travelling from the Port of Saldanha. It is expected that all 1,090 turbine components, weighing in collectively at an impressive 56,000 tonnes, will have reached their respective sites of Springbok, in the Northern Cape and the Witzenberg Municipality, in the Western Cape, before end January 2020. “This is a considerable undertaking as we
will have more than 1,000 abnormal loads traversing the country, between now
and January next year,” explained Christo Loots, construction programme manager
for Kangnas Wind Farm and Perdekraal East Wind Farm.These two projects, both of which boast
very high local content percentages, will additionally bring in substantial
community investment over 20 years once they start operating in 2020 and
generate a combined 932,3GWh/year of clean, renewable power into the grid. This
is equivalent to the energy needs of 215,000 homes each year.There are 33 wind farms at various stages of development throughout South Africa, including these two giant projects.  The country has more than 1,365 wind turbines generators equalling 3,672MW installed capacity of which 2,020MW is fully operational.  The wind sector has invested R80.6 billion in South Africa and is helping to drive local manufacturing industries, which provide thousands of home-grown jobs.  One such manufacturer, GRI, located in the Special
Economic Zone (SEZ) for Green Technologies, is producing the massive turbine
tower sections for Kangnas Wind Farm and Perdekraal East Wind Farm.  GRI is 25% owned by local Black
shareholders, whilst their 250 or so employees have benefited from skills
transfer, some seeing training and experience abroad, and bringing their skills
back to South Africa to ramp up to full operations again.  According to Green Cape, the SEZ has already attracted R680 million in green technology investments and has created over 300 jobs. It is expected that the zone will attract a further R3.7 billion of investment by renewable energy and other manufacturers, and nearly 3,000 jobs are expected to be created by 2030 if these investments are realised. Perdekraal East Wind Farm is situated in
the Witzenberg Local Municipality, in the Western Cape. Approximately 80 km
North-West of the Ceres (town) and 198.26 km north east of the Port of
Saldanha. Kangnas Wind Farm is situated in the Nama Khoi Municipal area, in the Northern Cape. This Province is the recipient of the majority of IPP’s from the latest bid window, green lighted almost a year ago.Log in to leave a comment ","May 21, 2019",S.Africa: two giant wind projects to come online in August 2020,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2018/03/wind-power.jpg
"Global energy
investment stabilised in 2018, ending three consecutive years of decline, as
capital spending on oil, gas and coal supply bounced back.Global energy
investment stabilised in 2018, ending three consecutive years of decline, as
capital spending on oil, gas and coal supply bounced back.However, investment stalled for energy efficiency and renewables, according to the International Energy Agency’s (IEA) latest annual review.The findings of the World Energy Investment 2019 report
signal a growing mismatch between current trends and the paths to meeting the
Paris Agreement and other sustainable development goals.Global energy investment totalled more than $1.8 trillion in
2018, a level similar to 2017. For the third year in a row, the power sector attracted more
investment than the oil and gas industry. The biggest jump in overall energy investment was in the US,
where it was boosted by higher spending in upstream supply, particularly shale,
but also electricity networks. The increase narrowed the gap between the US and China,
which remained the world’s largest investment destination.Still, even as investments stabilised, approvals for new
conventional oil and gas projects fell short of what would be needed to meet
continued robust growth in global energy demand. At the same time, there are few signs of the substantial
reallocation of capital towards energy efficiency and cleaner supply sources
that is needed to bring investments in line with the Paris Agreement and other
sustainable development goals.“Energy investments now face unprecedented uncertainties,
with shifts in markets, policies and technologies,” said Dr Fatih Birol, the
IEA’s executive director. “But the bottom line is that the world is not investing
enough in traditional elements of supply to maintain today’s consumption
patterns, nor is it investing enough in cleaner energy technologies to change
course. Whichever way you look, we are storing up risks for the future,” Birol
added.The world is witnessing a shift in investments towards energy supply projects that have shorter lead times. In power generation and the upstream oil and gas sector, the
report indicates that the industry is bringing capacity to market more than 20%
faster than at the beginning of the decade. This reflects industry and investors seeking to better manage risks in a changing energy system, and also improved project management and lower costs for shorter-cycle assets such as solar PV, onshore wind and US shale.Even though decisions to invest in coal-fired power plants
declined to their lowest level this century and retirements rose, the global
coal power fleet continued to expand, particularly in developing Asian
countries.The continuing investments in coal plants, which have a long
lifecycle, appear to be aimed at filling a growing gap between soaring demand
for power and a levelling off of expected generation from low-carbon
investments (renewables and nuclear). Without carbon capture technology or incentives for earlier
retirements, coal power and the high CO2 emissions it produces would remain
part of the global energy system for many years to come. At the same time, to meet sustainability goals, investment in energy efficiency would need to accelerate while spending on renewable power doubles by 2030.Among major countries and regions, India had the second
largest jump in energy investment in 2018 after the US. However, the poorest regions of the world, such as
sub-Saharan Africa, face persistent financing risks. They only received around 15% of investment in 2018 even
though they account for 40% of the global population. Far more capital needs to flow to the least developed
countries in order to meet sustainable development goals.The report also found that public spending on energy
research, development and demonstration (RD&D) is far short of what is
needed. While public energy RD&D spending rose modestly in 2018,
led by the US and China, its share of gross domestic product remained flat and
most countries are not spending more of their economic output on energy
research.“Current investment trends show the need for bolder
decisions required to make the energy system more sustainable,” Dr Birol said. “Government leadership is critical to reduce risks for
investors in the emerging sectors that urgently need more capital to get the
world on the right track.”Log in to leave a comment ","May 22, 2019",Global energy investment stabilised above $1.8tn in 2018,
"Up to 115,000 Basotho and businesses in the Lesotho Lowlands will have access to improved water as a result of $78 million financing from the International Development Association (IDA) for the country’s water supply scheme.Up to 115,000 Basotho and businesses in the Lesotho Lowlands will have access to improved water as a result of $78 million financing from the International Development Association (IDA) for the country’s water supply scheme.This funding, for the Lesotho Lowlands Water Development Project – Phase II, will build on the work done under Phase I, which included the completion of the Metolong Dam and Water Supply Programme, that provides water supply services to the domestic and industrial water requirements for the capital, Maseru and surrounding settlements.  The project will also assist in improving the technical and financial performance of Lesotho’s Water and Sewage Company (WASCO) for better sanitation infrastructure and services.“Through this project, the World Bank will assist the Government of Lesotho to provide a reliable water supply, which is critical to improving the quality of life of Basotho and to the industrial areas including the textile sector for improved productivity and job creation.  This is in line with the World Bank’s twin goals to reduce poverty and promote shared prosperity,” said Paul Noumba Um, World Bank Country Director for Lesotho, Botswana, Namibia, South Africa, Swaziland, Zambia, Zimbabwe.   Water is one of Lesotho’s most valuable natural assets, and it is central to the country’s long-term growth prospects. The country’s access to water supply services is relatively high compared to other countries in Sub-Saharan Africa, however, the reliability and quality of water supply services remains a challenge in both rural and urban areas.The Lesotho Lowlands Water Development Project – Phase II aims to finance activities to improve access to reliable domestic and industrial water supply services in the towns of Maputsoe and Hlotse, as well as settlements and villages along the transmission pipeline route. About 115,000 inhabitants and the Industrial sector are expected to benefit from the developments. Read more: Lesotho Highlands Development Authority appoints experts for Phase IIThe project will also support the enhancement of WASCO’s performance by incentivising the delivery of measurable operational improvements facilitated by change management support. These improvements include: improving the quality of its technical and financial data to facilitate decision making and delivering on technical and financial performance against annual targets set by the Lesotho Electricity and Water Authority.“The project will help reduce the time and effort needed, especially for women and children, to collect water. It will also help reduce the incidence of waterborne diseases caused by consumption of contaminated water and the associated costs of accessing treatment,” said Catherine Signe Tovey, World Bank Global Practice Manager for Water.    “The project is also expected to promote economic growth and jobs by providing reliable water services to the industrial sector in the Maputsoe area which has been severely affected by the water crisis in the past few years.” Watch this latest video around improving water supply through groundwater. Log in to leave a comment ","May 22, 2019",Lesotho: World Bank financing to provide improved water supply,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2018/12/55468845_xl-city-energy-water-light-bulb.-123rf.jpg
"A South African global provider of fleet and mobile asset management solutions has secured a tender to supply a water service provider in Uganda with a comprehensive fleet management solution.A South African global provider of fleet and mobile asset management solutions has secured a tender to supply a water service provider in Uganda with a comprehensive fleet management solution.The water service provider operates an extensive fleet to fulfil its mandate of providing water for use in agriculture, rural industries, and tourism among others. It also coordinates the national development of water resources and provides effective planning and management for the water and sanitation sectors.“The data provided by our telematics solution enables this service provider to optimise the utilisation of its fleet, manage drivers, reduce costs, and increase productivity. ""The benefits from effective mobile asset management are tangible and provide improvements that are sustainable,” says Gert Pretorius, the managing director of MiX Telematics Africa.“Our premium fleet solution provides real-time insight, allowing the fleet manager to make informed decisions, with the aim of improving productivity and reducing operational expenses. This online platform processes data from multiple assets, creating customisable reports, graphs and dashboards that provide actionable intelligence.”Given today's demands, fleet management is essential for utility companies that undertake the critical task of delivering natural resources to consumers. Read more: Isimba hydropower station to provide affordable powerLog in to leave a comment ","May 23, 2019",Uganda to install a comprehensive fleet management solution,
"The Sustainable Energy Fund for Africa (SEFA), managed by the African Development Bank, has recently approved a $995,000 grant to support the roll-out of a sustainable procurement framework for Independent Power Producers (IPPs) in Ethiopia.The Sustainable Energy Fund for Africa (SEFA), managed by the African Development Bank, has recently approved a $995,000 grant to support the roll-out of a sustainable procurement framework for Independent Power Producers (IPPs) in Ethiopia.The SEFA grant is aimed at encouraging private investments
into hydropower projects through Ethiopia’s Renewable Energy Programme.It will strengthen the government’s capacity to undertake bankability and technical analysis including feasibility assessments of projects in the hydro priority pipeline. The grant also provides for environmental and social impact assessments, resettlements action plans, and preparation of bidding documents for hydro projects.“A well-structured procurement framework is crucial in
mobilising the investments necessary to achieve universal energy access in
Africa,” said Wale Shonibare, the Bank’s acting Vice-President for power,
energy, climate change and green growth.“The SEFA programme will boost private IPPs participation,
and spur investments into the Ethiopian hydro power sector. The programme also
complements the assistance provided by the Bank’s Institutional IPP/PPP Support
Project, as well as the Bank-financed Mekele-Dallol and Semera-Afdera Power
Supply for Industrial Development and Access Scale-up Project”, Shonibare added.Ethiopia has a vast but untapped renewable energy potential.
Under a long-term development strategy, the government has outlined a National
Electrification Programme (NEP), targeting universal access by 2025 through a
65% on-grid, and 35% off grid combination. The goal is to transform the country into a regional energy
hub by 2030.The Ethiopia Renewable Energy Programme, supported by the SEFA
grant, is in line with the country’s Growth and Transformation Plan (GTP II)
2015/16 – 2019/20 and with the NEP targets.It also aligns with the Bank’s Energy Sector Policy (2012), the New Deal on Energy for Africa, especially focusing on Renewable Energy and Early Stage Project Finance.Log in to leave a comment ","May 23, 2019",Ethiopia secures grant to roll-out hydropower projects,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2019/04/Hydropower.jpg
"Despite significant
progress in recent years, the world is falling short of meeting the global
energy targets set in the United Nations Sustainable Development Goals (SDG)
for 2030. Despite significant
progress in recent years, the world is falling short of meeting the global
energy targets set in the United Nations Sustainable Development Goals (SDG)
for 2030. Ensuring affordable, reliable, sustainable and modern energy
for all by 2030 remains possible but will require more sustained efforts,
particularly to reach some of the world’s poorest populations and to improve
energy sustainability.This is according to a new report produced by the
collaboration between the International Energy Agency (IEA) the International
Renewable Energy Agency (IRENA), the United Nations Statistics Division (UNSD),
the World Bank and the World Health Organization (WHO).Notable progress has been made on energy access in recent
years, with the number of people living without electricity dropping to roughly
840 million from 1 billion in 2016 and 1.2 billion in 2010. “The progress we have seen over the last few years is encouraging- the number of people without access to electricity has dropped to 840 million- but we still have a great deal of work to do as much of this population lives in the poorest countries and most remote locations,” noted Riccardo Puliti, senior director for energy and extractives at the World Bank. Puliti added: “This report demonstrates the importance of
sound planning, integrating grid and off-grid approaches, a focus on
affordability and reliability, and addressing gender inequalities.”India, Bangladesh, Kenya and Myanmar are among countries
that made the most progress since 2010. However, without more sustained and stepped-up actions, 650
million people will still be left without access to electricity in 2030. Nine
out of 10 of them will be living in sub-Saharan Africa.Tracking SDG7:
The Energy Progress Report also shows that great efforts have been
made to deploy renewable energy technology for electricity generation and to
improve energy efficiency across the world. Tracking SDG7:
The Energy Progress Report Nonetheless, access to clean cooking solutions and the use
of renewable energy in heat generation and transport are still lagging far
behind the goals. Dr Fatih Birol, IEA’s
executive director, said: “We
need to do more to put the world on track to meet all SDG7 targets. I am
particularly concerned by the dramatic lack of access to reliable, modern and
sustainable energy in certain parts of the world, especially in sub-Saharan
Africa, a region where we need to really concentrate our efforts. “The IEA will
continue to cooperate with countries and organizations to make sure that
successful solutions are efficiently deployed so that the sustainable energy revolution
leaves no one behind.”The report tracks global, regional and country progress on
the three targets of SDG7: access to energy and clean cooking, renewable energy
and energy efficiency. It identifies priorities for action and best practices that have proven successful in helping policymakers and development partners understand what is needed to overcome challenges.Here are the key highlights for each target. Findings are
based on official national-level data and measure global progress through 2017.Access to
electricity: Following a decade of steady progress, the global
electrification rate reached 89% and 153 million people gained access to
electricity each year. Access to
electricity:However, the biggest challenge remains in the most remote
areas globally and in sub-Saharan Africa where 573 million people still live in
the dark. To connect the poorest and hardest to reach households, off-grid
solutions, including solar lighting, solar home systems, and increasingly mini
grids, will be crucial. Globally, at least 34 million people in 2017 gained access
to basic electricity services through off-grid technologies. The report also
reinforces the importance of reliability and affordability for sustainable
energy access.Clean Cooking:
Almost three billion people remain without access to clean cooking in 2017,
residing mainly in Asia and sub-Saharan Africa. This lack of clean cooking
access continues to pose serious health and socioeconomic concerns. Clean Cooking:Under current and planned policies, the number of people
without access would be 2.2 billion in 2030, with significant impact on health,
environment, and gender equality.Renewables accounted
for 17.5% of global total energy consumption in 2016 versus 16.6% in 2010.
Renewables have been increasing rapidly in electricity generation but have made
less headway into energy consumption for heat and transport. Renewables A substantial further increase of renewable energy is needed
for energy systems to become affordable, reliable and sustainable, focusing on
modern uses. As renewables become mainstream, policies need to cover the
integration of renewables into the broader energy system and take into account
the socio-economic impacts affecting the sustainability and pace of the
transition.Energy efficiency
improvements have been more sustained in recent years, thanks to concerted
policy efforts in large economies. However, the global rate of primary energy
intensity improvement still lags behind, and estimates suggest there has been a
significant slowdown in 2017 and 2018. Energy efficiencyStrengthening mandatory energy efficiency policies,
providing targeted fiscal or financial incentives, leveraging market-based
mechanisms, and providing high-quality information about energy efficiency will
be central to meet the goal.Log in to leave a comment ","May 22, 2019",Nations falling short on meeting SDGs for 2030 on energy access,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2018/05/raul-petri-172505-unsplash-electricity-access.jpg
"Next generation utility BBOXX has secured an $8 million loan from the Facility for Energy Inclusion Off-Grid Energy Access Fund (FEI OGEF). Next generation utility BBOXX has secured an $8 million loan from the Facility for Energy Inclusion Off-Grid Energy Access Fund (FEI OGEF). The local currency loan – one of the first to be made since the fund’s launch last year – accelerates BBOXX’s roll-out of solar home systems across Rwanda, its largest market. The Rwandan Franc-denominated loan enables the company to expand its operations and bring clean, reliable and affordable energy to many more individuals, communities, and SMEs previously living without it. To date, BBOXX has installed 80,000 solar home systems in customers’ homes and businesses across Rwanda. The innovative local currency loan mitigates the company’s medium-term FX related risks, as customers make mobile money payments in Rwandan Francs to pay for their solar electricity.Mansoor Hamayun, CEO and co-founder of BBOXX commented: “We are thrilled to have secured this loan from FEI OGEF to turbocharge our roll-out of solar home systems across Rwanda. It will help us to advance our goal of transforming lives and unlocking economic potential through access to energy.""He added: “With substantial operations in Rwanda already, this deal demonstrates confidence in our business model and our ability to scale and deliver much-needed reliable and affordable electricity, as the entry point to all other modern utilities.”FEI OGEF is a $100 million blended finance debt fund that provides predominantly secured financing to support the growth of innovative companies in the off-grid energy sector. The fund is
managed by LHGP Asset Management, the asset management arm of Lion’s Head
Group. FEI OGEF is
the off-grid window of the African Development Bank (AfDB) flagship initiative,
Facility for Energy Inclusion. It has received funding from the AfDB, the Nordic Development Fund, the European Union, the Global Environment Facility, and All-On Nigeria as well as debt financing from Calvert Impact Capital and the Prudential Insurance Company of America. Harry Guinness, managing director at Lion’s Head and OGEF Fund manager, said: “BBOXX has invested in the team, products, and infrastructure needed to achieve scale. With this transaction, FEI OGEF provides efficient, sustainable and scalable capital to catalyse the next stage of BBOXX’s growth in Rwanda and beyond.”Log in to leave a comment ","May 23, 2019",BBOXX bags $8m loan to accelerate solar home systems in Rwanda,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2018/04/Investment.jpg
"South Africa’s Trade and Industry Minister, Rob Davies, will today [23 May] attend an informal meeting of World Trade Organisation (WTO) Ministers in France.South Africa’s Trade and Industry Minister, Rob Davies, will today [23 May] attend an informal meeting of World Trade Organisation (WTO) Ministers in France.Earlier this year, Minister Davies expressed concern about the future of the World Trade Organisation. “The aim of the informal gathering of WTO Ministers is to exchange views and ideas on possible outcomes for the 12th WTO Ministerial Conference (MC12) that will take place in June 2020 in Kazakhstan,"" said the Department of Trade and Industry (dti).On Wednesday, Minister Davies addressed a meeting of the France-South Africa Business Council.France is the 13th largest foreign investor
in South Africa, with 28 French companies invested in the country.According to Davies, a total of 28 companies from France invested in South Africa between January 2013 and September 2018, representing a total capital investment of R15,848.57 billion during this period.“A total of 32 Foreign Direct Investment
projects were recorded during this period, with an average investment of
R495.03 billion per project, which created a total of 4,209 jobs,” said Davies.South Africa’s import basket from France is
dominated by machinery and mechanical appliances, boilers, aircrafts such as
helicopters and aeroplanes, pharmaceuticals, electrical machinery as well as
motor vehicles.South Africa’s export basket is dominated by motor vehicles, mineral fuels, as well as parts and components for the aerospace sector. Other exports include food and beverages. France is South Africa’s largest market for avocado pears. Read More: Ten French companies to feature at African Utility WeekThe dti stated that the minister is attending this informal meeting on Thursday on the side-lines of the Organisation for Economic Co-operation and Development (OECD) Ministerial Council Meeting, which got underway on 22 May. The WTO Ministers’ informal meeting will
discuss in particular WTO reforms and negotiate outcomes in preparation for
MC12, as well as how to narrow the differences in the fishery subsidies
negotiations.“Our view is that the reform of the WTO
should fundamentally be about reform for development and inclusivity,” said
Davies.The MC12 is the topmost decision-making body
of the WTO and usually meets every two years.The last WTO MC meeting took place in
December 2017 in Buenos Ares, Argentina.The informal gathering of the WTO Ministers
in Paris follows a WTO Ministerial Meeting of Developing Countries, which took
place on 13 - 14 May 2019 in New Delhi, India.The meeting adopted an outcomes ministerial
document titled ‘Working Collectively to strengthening the WTO to promote
development and inclusivity’.There is also a commitment to work collectively with the aim of developing proposals to ensure that the interests of developing countries are reflected in the WTO reform process.Article originally published by SAnews.gov.za. Edited by ESI Africa.Log in to leave a comment ","May 23, 2019",South Africa takes stock ahead of WTO Ministerial Conference,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2018/09/53733164_xl-cargo.-trade.-business.-123rf.jpg
"The City of Cape Town encourages all home and business owners with rooftop solar photovoltaic installations to register both grid-tied and off-grid small-scale embedded generation (SSEG) systems.In an effort to pre-empt national legislation, which will come into effect and require registration, the City has issued a notice requiring registration of solar PV units on or before 31 May 2019.There is no charge for registering, but a non-compliance fee
is payable after the deadline. “Your PV system may also be removed if it does
not meet the prescribed installation standards,” the City acknowledged.According to the City, one of the motivating factors for the regulation is around the safe and responsible use of clean energy. “All solar PV energy systems, which can generate electricity and power your home must comply with the City of Cape Town's regulations and be registered prior to installation,” stated the City. Take the poll: Have you registered your solar PV system?Take the poll:Where the solar PV system has already been installed
residents have been requested to start the registration process immediately.Standalone solar PV units as well as grid-tied systems
connected to the City of Cape Town's electricity network must be registered and
comply with the City's requirements.Notably, the registration does not apply to solar geezers (solar water heaters) as these systems do not generate electricity. The regulation of solar PV systems that feed into a grid and standalone units is to ensure the safety of municipal workers and the general public in terms of proper installation of the systems. The City points out that poorly installed units can cause
household fires and that “the safety and quality of the entire grid may be
compromised if your installation is not compliant”.  The City is also using this requirement as an
opportunity to “grow and maintain the city's electrical infrastructure” as
there is a “need to plan with knowledge of all generation systems on the
network”. Failure to register units will result in being charged a service fee for the removal of the solar PV connection and the electricity supply may also be disconnected, warned the City. Log in to leave a comment ","May 23, 2019","Register your solar PV system before 31 May 2019, warns City of Cape Town",https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2018/03/solar-rooftop.jpg
"The National Energy Regulator (NERSA) has been inundated with a number of queries from various stakeholders seeking clarity on the Minister of Energy’s letter approving deviation from the Integrated Resource Plan (IRP) 2010-2030. The National Energy Regulator (NERSA) has been inundated with a number of queries from various stakeholders seeking clarity on the Minister of Energy’s letter approving deviation from the Integrated Resource Plan (IRP) 2010-2030. NERSA hereby confirms that it has received a letter from the Minister of Energy on 2 May 2019, granting a deviation from the existing IRP 2010-2030 for licensing of operation for generation facilities ranging above 1MW to 10MW. It is important to clarify that the Minister did not direct NERSA to automatically approve licence applications for the operation of small-scale generation facilities without following due process. Read more: SA Energy Minister’s decision on SSEG will drive investment, says SAPVIAThis clarifies various interpretations given by stakeholders that NERSA is directed to licence these facilities immediately without delay. In terms of section 10(2)(g) of the Electricity Regulation Act, 2006 (Act No. 4 of 2006), the Minister has powers to approve deviation from compliance with the Integrated Resource Plan, and with this letter, the Minister exercised these powers. To give effect to this deviation, NERSA will follow due process, and adhere to the legal prescripts in evaluating all licence applications as well as registration applications for small-scale embedded generation, as contemplated in section 10 of the National Energy Regulator Act, 2004 (Act No. 40 of 2004), read with the Promotion of Administrative Justice Act, 2000 (Act No. 3 of 2000) and the Electricity Regulation Act of 2006. Applications received for facilities up to 1MW will go through the NERSA-approved registration procedure and will require the payment of the prescribed registration fee. In this regard, applicants are expected to comply with the relevant/applicable pieces of legislation by providing relevant and sufficient information. This will enable the Energy Regulator to conduct a thorough and efficient evaluation of the applications. NERSA is
planning to conduct a stakeholder workshop in order to provide clarity on its
processes and information required to evaluate these applications on time. The
date of the workshop will be communicated in due course. Log in to leave a comment ","May 23, 2019",NERSA confirms receipt from Energy Minister on generation licenses,
"The World Bank has debarred Chinese tech firm Jiangsu Zhongtian Technology (ZTT), manufacturers and distributers of fibre optic cables, for a period of 20 months.The World Bank has debarred Chinese tech firm Jiangsu Zhongtian Technology (ZTT), manufacturers and distributers of fibre optic cables, for a period of 20 months.This course of action is in connection with fraudulent practices under the Lusaka Transmission and Distribution Rehabilitation Project in Zambia.According to the facts of the case, ZTT misrepresented its
past contract experience by submitting falsified documents in its bid for the
contract, which is a fraudulent practice.The project was designed to improve the electricity transmission and distribution system in the Lusaka area. Read more: Zambia: 34MW Ngonye solar PV plant comes onlineThe debarment makes the Chinese tech firm ineligible to participate in World Bank-financed projects. It is part of a settlement agreement under which the company
acknowledges responsibility for the underlying sanctionable practices and
agrees to meet specified corporate compliance conditions as a condition for
release from debarment.As a condition for release from sanction under the terms of the settlement agreement, the company commits to developing an integrity compliance programme consistent with the principles set out in the World Bank Group Integrity Compliance Guidelines. The company also commits to continue to fully cooperate with
the World Bank Group Integrity Vice Presidency.The debarment of ZTT qualifies for cross-debarment by other multilateral
development banks, the Agreement for Mutual Enforcement of Debarment Decisions
that was signed on April 9, 2010.Log in to leave a comment ","May 24, 2019",World Bank debars Chinese tech firm linked to fraudulent practices,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2019/01/world-bank.jpg
"Global leadership organisation YPO has recently conducted a survey of
its members in over 130 countries to get their latest thoughts on innovation
and its implications for the future of their businesses. Global leadership organisation YPO has recently conducted a survey of
its members in over 130 countries to get their latest thoughts on innovation
and its implications for the future of their businesses. YPO’s 2019 Global Pulse Innovation Survey, conducted between 29 April through 6 May 2019 with more than 1,600 chief executive respondents, confirmed that the majority of global business leaders (57%) feel an urgent need to innovate now. Where do they look to find inspiration to innovate? Their customers. Nearly half of global business leaders cited customers as their top source of innovation inspiration (48%) with employees (36%) ranking second. Consultants (10%) and think tanks (7%) lag far behind in the minds of respondents. The importance of keeping this key constituency happy is a focal point with nearly one in five respondents citing customer experience as their primary business area most needing innovation now. This ranks ahead of products, data/business intelligence and technology. According to additional YPO Global Pulse findings, location, geographic location, industry, company size, and length of job tenure greatly inform business leaders’ opinions and go-forward innovation action plans: The YPO 2019 Global Pulse Innovation Survey of its members was conducted by YPO from 29 April – 6 May via an online questionnaire with a representative probability sample of 1,661 YPO members. The sample included members in 105 countries and representing 34 industry sectors. The questionnaire was in English. The margin of sampling error is plus or minus 2.3 percentage points at the 95% confidence level. Log in to leave a comment ","May 24, 2019","Customers are the primary inspiration for business innovation, finds study",
"The first year of the Global Wind Energy Council (GWEC) Women in Wind Global Leadership Programme, has selected eight participants from 85 applications from all over the world.The first year of the Global Wind Energy Council (GWEC) Women in Wind Global Leadership Programme, has selected eight participants from 85 applications from all over the world.An indication of where these applications came from is in the graphic below, highlighting the emerging markets for wind power worldwide.The mentors were chosen for their track record of leadership, commitment to pushing the needle on gender diversity and recognised knowledge of the wind sector. Read more; Women in Energy: She moved her cheese to tackle electrical losses""We also sought to make thoughtful and suitable matches to our participants, based on shared areas of interest and expertise,"" GWEC said.2019 participants: Log in to leave a comment ","May 24, 2019",Eight mentors join the Women in Wind Global Leadership Programme,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2018/03/wind-power.jpg
"South African President Cyril Ramaphosa has signed the Carbon Tax Act into law, which will come into effect from 1 June 2019. South African President Cyril Ramaphosa has signed the Carbon Tax Act into law, which will come into effect from 1 June 2019. The Southern African Energy Efficiency Confederation (SAEEC) said in April that it is apparent that phase 1 of the carbon tax will penalise companies whose primary source of emission is energy generation.  Therefore, the SAEEC states that the “obvious conclusion is that using less energy will be essential to reducing the greenhouse gas emissions and the consequent steep tax for heavy emitters”. The SAEEC added that in addition to the carbon tax ‘stick’, there is the ‘carrot’ in the form of the section 12L tax incentive for energy efficiency. Section 12L benefits companies that implement energy efficiency interventions to decrease their energy intensity and employ Measurement and Verification (M&V) to quantify the energy savings for the purpose of a tax allowance.The section 12L tax incentive is currently at 95c/kWh for energy savings. Read more: SAEEC explores carbon tax and the 12L incentiveLog in to leave a comment ","May 27, 2019",S.Africa: Carbon tax to come into effect 1 June,https://1st4u616hq2s3alsy93h5ipb-wpengine.netdna-ssl.com/wp-content/uploads/2019/02/Carbon-footprint.jpg
